Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-05-04 09:16:38,false,"Gennevilliers Running","0.70","47","00:09:42.6","112","131","0.4","101","124","13:51","7:30","5","6","0.73","8.1","5.9","457","--","219","0.0","116","821","1,044","--","--","-1","No","00:09:42.6","1","--","--","--","--","--","--","--","--","--","00:08:20","00:09:42.6","28","32"
Walking,2026-05-02 15:45:29,false,"Mesquer Walking","0.95","61","00:16:24","103","125","0.3","86","152","17:14","3:59","9","2","0.68","--","--","--","--","--","0.0","--","--","1,552","--","--","--","No","00:16:24","1","--","--","--","--","--","--","--","--","--","00:15:36","00:16:32","1","8"
Walking,2026-05-02 15:08:49,false,"Mesquer Walking","0.35","32","00:10:05","95","125","0.1","52","158","29:08","4:01","4","--","0.66","--","--","--","--","--","0.0","--","--","614","--","--","--","No","00:10:05","1","--","--","--","--","--","--","--","--","--","00:06:24","00:10:05","--","4"
Walking,2026-05-01 22:33:42,false,"Pornichet Walking","0.74","45","00:14:13","94","105","0.2","84","156","19:09","10:20","3","5","0.62","--","--","--","--","--","0.0","--","--","1,274","--","--","--","No","00:14:13","1","--","--","--","--","--","--","--","--","--","00:13:36","00:14:13","3","10"
Walking,2026-04-30 09:16:18,false,"Gennevilliers Walking","0.51","31","00:06:16.9","118","124","0.3","112","124","12:12","8:14","3","--","0.73","--","--","--","--","--","0.0","--","--","738","--","--","--","No","00:06:16.9","1","--","--","--","--","--","--","--","--","--","00:06:15","00:06:16.9","28","32"
Treadmill Running,2026-04-29 19:11:23,false,"Treadmill Running","1.86","112","00:12:20","152","176","2.5","142","163","6:37","4:43","--","--","1.05","8.9","9.4","280","--","252","0.0","220","340","1,760","--","--","-3","No","00:05:48.4","2","--","--","--","--","--","--","--","--","--","00:11:52","00:12:21","--","--"
Walking,2026-04-29 09:15:44,false,"Gennevilliers Walking","0.47","27","00:05:26.9","114","121","0.3","110","228","11:40","7:21","4","--","0.78","--","--","--","--","--","0.0","--","--","622","--","--","-1","No","00:05:26.9","1","--","--","--","--","--","--","--","--","--","00:05:07","00:05:26.9","28","32"
Treadmill Running,2026-04-28 18:25:34,false,"Treadmill Running","2.14","129","00:14:31","145","158","2.5","150","160","6:47","6:06","--","--","0.98","9.8","9.6","291","--","233","0.0","224","252","2,192","--","--","-3","No","00:01:15.6","3","--","--","--","--","--","--","--","--","--","00:13:57","00:14:31","--","--"
Walking,2026-04-28 09:36:26,false,"Gennevilliers Walking","0.60","47","00:09:14.7","116","131","0.5","81","128","15:26","7:21","3","--","0.80","--","--","--","--","--","0.0","--","--","810","--","--","-1","No","00:09:14.7","1","--","--","--","--","--","--","--","--","--","00:06:13","00:09:14.7","28","32"
Walking,2026-04-27 21:55:54,false,"Paris Walking","0.33","21","00:05:24.0","103","108","0.1","91","109","16:18","10:31","5","1","0.67","--","--","--","--","--","0.0","--","--","526","--","--","--","No","00:05:24.0","1","--","--","--","--","--","--","--","--","--","00:05:12","00:05:24.0","35","41"
